Cuisines,Aggregate rating
Sunda,4.9
B�_rek,4.7
Taiwanese,4.65
Ramen,4.5
Dim Sum,4.466666666666667
Hawaiian,4.4125
Bubble Tea,4.4
D�_ner,4.4
Curry,4.3999999999999995
Kebab,4.38
Izgara,4.35
Filipino,4.34
Scottish,4.333333333333333
South African,4.333333333333333
Turkish Pizza,4.325
World Cuisine,4.300000000000001
Fish and Chips,4.3
Durban,4.3
Gourmet Fast Food,4.3
Irish,4.3
Kiwi,4.3
Argentine,4.3
Teriyaki,4.3
Contemporary,4.288888888888889
Indonesian,4.285714285714286
Modern Indian,4.28125
Caribbean,4.271428571428571
International,4.247619047619048
Deli,4.2
Cajun,4.2
Southwestern,4.185714285714286
Charcoal Grill,4.175
Brazilian,4.175
Cuban,4.15
Western,4.14
Tapas,4.131578947368421
Southern,4.129166666666666
Indian,4.112857142857142
British,4.1125
Bar Food,4.107692307692307
New American,4.1
Parsi,4.1
Spanish,4.08125
Vegetarian,4.073913043478261
Iranian,4.066666666666666
Sandwich,4.066037735849057
Latin American,4.0636363636363635
Grill,4.057142857142857
Belgian,4.05
Burmese,4.05
Restaurant Cafe,4.025
Patisserie,4.025
Mediterranean,4.008928571428571
BBQ,4.006060606060606
Persian,4.0
Peranakan,4.0
Pakistani,3.9916666666666667
Steak,3.985483870967742
French,3.9793103448275864
Sushi,3.973333333333333
German,3.97
Goan,3.97
Breakfast,3.9658536585365853
European,3.9567567567567568
Pub Food,3.95
African,3.95
Vietnamese,3.923809523809524
Seafood,3.920689655172414
Greek,3.92
Middle Eastern,3.9181818181818184
Asian,3.8879828326180257
Tex-Mex,3.884210526315789
Andhra,3.87
Diner,3.8666666666666667
Mexican,3.8546961325966853
Asian Fusion,3.85
Cantonese,3.8499999999999996
Portuguese,3.8428571428571425
Japanese,3.8222222222222224
Korean,3.814285714285714
Coffee and Tea,3.7947368421052627
Australian,3.7800000000000002
Kerala,3.773913043478261
Malaysian,3.7636363636363637
Turkish,3.753333333333333
Arabian,3.75
American,3.7487179487179487
Thai,3.7324786324786325
Italian,3.731151832460733
Mangalorean,3.725
Juices,3.6965517241379313
Continental,3.689673913043478
Burger,3.683266932270916
Chettinad,3.6727272727272724
Rajasthani,3.6666666666666665
Gujarati,3.6636363636363636
Cafe,3.6549075391180654
Bihari,3.65
Hyderabadi,3.646153846153846
Lebanese,3.630434782608696
Soul Food,3.6
Peruvian,3.6
North Eastern,3.5999999999999996
Tea,3.5979166666666664
Sri Lankan,3.5799999999999996
Fusion,3.575
Maharashtrian,3.5700000000000003
Armenian,3.5666666666666664
Desserts,3.5516079632465543
Nepalese,3.5444444444444443
Modern Australian,3.527272727272727
Finger Food,3.514912280701754
Beverages,3.5122270742358075
South American,3.5
Malwani,3.5
Bengali,3.475862068965517
Naga,3.475
Drinks Only,3.45
Kashmiri,3.4450000000000003
Ice Cream,3.44070796460177
Lucknowi,3.430769230769231
Afghani,3.4285714285714284
Awadhi,3.4272727272727277
Mineira,3.4
Cuisine Varies,3.4
Biryani,3.4
Bakery,3.394765100671141
Pizza,3.394750656167979
Tibetan,3.3840909090909093
Healthy Food,3.376
North Indian,3.3213403880070547
Street Food,3.3179715302491104
Chinese,3.30599634369287
Mughlai,3.29678391959799
Fast Food,3.2872608257804634
South Indian,3.2770440251572324
Oriya,3.25
Assamese,3.25
Salad,3.238709677419355
Mithai,3.227894736842105
Singaporean,3.175
Raw Meats,3.1666666666666665
Canadian,3.0
Malay,3.0
Moroccan,2.98
